,leiden
srd-5,9
C55C3.4,11
C55C3.6,9
C55C3.3,8
C55C3.8,2
perm-5,2
C55C3.1,3
H35B03.1,2
H35B03.2,1
C45E5.4,6
chil-11,8
C45E5.1,2
nhr-46,0
C31H1.2,6
C31H1.5,6
C31H1.1,2
lntl-1,7
C31H1.8,3
egal-1,1
C06E7.2,2
sams-4,0
sams-3,1
C06E7.4,7
spe-27,2
C06E7.88,1
srv-17,6
H04M03.11,3
glf-1,0
H04M03.3,2
nspb-6,8
H04M03.12,5
lin-33,0
H32C10.1,3
mcu-1,2
pfkb-1.2,1
inx-7,0
rps-25,7
K02B2.6,6
unc-44,7
C46G7.5,3
C46G7.2,13
C46G7.1,2
pqn-22,13
kcc-2,1
K08B4.2,0
ugt-19,5
ugt-20,3
K08B4.7,9
cpi-1,13
lag-1,7
M03D4.3,3
zen-4,0
M03D4.4,7
C11D2.3,5
C11D2.7,0
C11D2.4,1
unc-77,2
asp-9,5
tkr-2,5
C49A9.10,4
ugt-24,4
C49A9.6,2
C49A9.5,3
C49A9.9,5
C49A9.4,3
C49A9.3,3
C49A9.2,5
C49A9.1,10
F58F9.4,10
F58F9.3,2
F58F9.6,10
F58F9.8,8
F58F9.9,10
acox-3,1
F58F9.1,7
T13A10.2,4
T13A10.64,6
nlp-16,2
srv-29,15
srv-30,10
srv-31,5
aat-4,3
T13A10.1,3
sams-5,4
srv-32,9
ops-1,6
srv-24,2
hil-2,7
srv-27,9
srv-26,10
srv-25,10
csp-2,5
Y73B6BL.12,3
Y73B6BL.29,1
sqd-1,0
lsm-8,0
seu-1,0
blos-2,0
mif-4,2
ipla-6,1
Y73B6BL.288,3
Y73B6BL.14,8
Y73B6BL.289,6
Y73B6BL.47,2
smg-3,1
Y73B6BL.270,2
hrpf-2,0
bli-6,6
shl-1,2
sfrp-1,7
srv-13,3
Y73B6BL.35,2
exos-2,1
Y73B6BL.22,6
Y73B6BL.23,3
htp-2,4
puf-11,3
acp-6,2
acp-7,10
dlc-5,3
Y73B6BL.31,3
lgc-10,9
acr-25,3
Y73B6BL.36,0
Y73B6BL.27,0
tyr-6,6
Y73B6BL.44,5
pqn-89,2
C01G5.7,2
C01G5.9,2
ddi-1,1
C01G5.5,4
prg-2,3
C01G5.3,8
C01G5.25,0
fan-1,1
paqr-1,1
try-3,2
best-9,3
bicd-1,0
C43G2.3,4
odr-8,0
F38A5.2,0
dnj-11,0
lec-11,2
nspb-1,8
nspb-2,10
irld-7,3
nspb-3,12
F38A5.22,5
F38A5.6,6
nspb-4,6
nspb-5,10
F38A5.8,5
sup-36,0
F15B10.3,7
nstp-2,2
drh-1,2
C01B10.3,3
C01B10.10,2
C01B10.4,4
C01B10.9,1
C01B10.8,1
C01B10.7,9
C01B10.6,7
hil-7,7
C01B10.11,1
Y73B6A.1,5
Y73B6A.3,5
smg-7,1
lin-45,1
H34C03.2,1
spd-3,4
anat-1,1
dyci-1,0
C17H12.2,4
vha-8,0
C17H12.3,3
C17H12.12,2
C17H12.4,3
C17H12.11,5
C17H12.37,10
C17H12.10,5
ceh-48,0
C17H12.5,3
C17H12.8,4
C17H12.6,6
H20E11.3,3
H20E11.2,8
H20E11.1,3
lip-1,2
R13H7.2,7
srx-20,9
srx-19,12
tre-2,1
T05A12.3,1
T05A12.4,0
T22D1.8,3
T22D1.5,7
T22D1.17,2
rpn-1,0
ribo-1,0
T22D1.3,0
ruvb-2,0
T22D1.18,2
T22D1.11,2
npr-12,1
jnk-1,2
B0478.3,5
ZK381.2,2
ZK381.8,9
ZK381.62,2
nhr-249,8
pgl-1,2
him-3,2
prkl-1,1
C25A8.5,3
cht-3,9
trxr-1,1
C06G3.6,0
C06G3.5,0
C06G3.8,1
ufl-1,0
C06G3.3,5
cogc-2,0
klp-18,4
tin-9.1,0
nhr-105,2
srx-50,9
Y43B11AL.1,1
srg-48,2
srg-50,5
Y43B11AR.1,7
Y43B11AR.3,1
rps-4,7
deb-1,13
ZC477.4,3
rde-8,1
ZC477.3,0
ZC477.2,5
ZC477.7,6
ssq-3,8
nas-8,5
C34D4.10,10
str-48,5
grsp-3,4
cyn-12,1
mutd-1,1
hecd-1,0
C34D4.4,0
col-113,5
C34D4.3,6
C34D4.2,2
maph-9,7
