,leiden
npp-26,1
R11E3.2,1
R11E3.19,10
set-15,1
nhr-104,1
R11E3.1,2
eor-1,4
dpf-7,0
dpf-5,1
H06H21.11,0
ubxn-6,1
eif-1.A,0
srw-95,11
srw-94,5
H06H21.8,10
tat-2,3
Y17G9A.2,6
Y17G9A.3,12
Y17G9A.4,2
str-173,8
str-172,6
str-175,5
str-174,5
str-166,10
T08B6.1,9
T08B6.5,3
T08B6.4,6
str-156,10
str-155,5
Y9C9A.8,2
str-153,6
fbxa-86,9
str-168,2
Y9C9A.5,2
str-169,11
str-163,5
str-164,5
Y9C9A.1,6
Y9C9A.13,2
srz-28,10
Y9C9A.16,2
E03H12.5,10
srz-24,5
E03H12.9,12
str-162,11
ssp-9,11
ssq-2,8
ssp-11,6
pes-1,3
srm-1,1
T28H11.7,2
ssq-4,2
T28H11.8,6
C09B9.85,2
C09B9.2,10
C09B9.1,2
hot-9,8
msp-55,11
C09B9.7,11
msp-57,10
msp-53,12
rmd-6,2
C02B10.5,0
ivd-1,1
snpn-1,0
C02B10.4,0
C02B10.3,4
AC7.3,6
tkr-3,3
soc-2,7
C24D10.5,1
C24D10.49,5
C24D10.6,0
C24D10.4,0
nspd-3,6
C24D10.2,6
nspd-6,11
C24D10.1,2
lam-1,4
W03F8.4,7
W03F8.3,1
W03F8.6,3
gpa-18,5
tni-4,1
Y59E9AL.36,0
nbet-1,4
Y59E9AL.4,6
Y59E9AR.10,10
ttbk-2,6
F36H12.17,2
F36H12.3,12
F36H12.2,11
nlp-47,3
msp-51,6
ZK354.6,10
ZK354.7,6
ZK354.8,9
ZK354.3,1
ZK354.2,11
Y4C6B.5,1
Y4C6B.4,2
Y4C6B.3,5
Y4C6B.2,5
gba-4,5
Y4C6B.7,7
Y4C6B.1,0
hda-6,0
F41H10.5,2
F41H10.4,0
sand-1,0
F41H10.3,0
elo-5,9
F41H10.2,5
F41H10.1,3
F41H10.12,2
elo-6,4
htp-1,2
ZK616.5,2
perm-3,4
swsn-6,4
ZK616.3,1
ZK616.2,1
ZK616.1,8
ZK616.61,11
ZK616.65,2
ZK616.8,14
spp-7,1
ehn-3,1
mgl-3,5
Y4C6A.3,1
Y4C6A.4,12
Y52D5A.2,11
rme-2,2
T11F8.4,6
T11F8.1,3
T11F8.12,3
T11F8.5,2
snpc-3.1,2
puf-7,1
B0273.115,1
B0273.1,5
unc-5,4
fem-1,0
drp-1,0
T12E12.3,0
cec-6,1
T12E12.1,0
T12E12.6,2
fkh-7,0
C39H7.4,3
srsx-16,5
srsx-15,2
srd-12,10
C39H7.1,2
srd-13,10
srd-8,6
csn-5,0
skn-1,1
clec-178,3
bec-1,0
T19E7.6,8
srd-5,11
C55C3.4,14
C55C3.6,11
C55C3.3,6
C55C3.8,3
perm-5,1
C55C3.1,5
H35B03.1,3
H35B03.2,0
C45E5.4,2
chil-11,6
C45E5.1,3
nhr-46,0
C31H1.2,2
C31H1.5,9
C31H1.1,3
lntl-1,8
C31H1.8,2
egal-1,1
C06E7.2,1
sams-4,0
sams-3,1
C06E7.4,0
spe-27,3
C06E7.88,0
srv-17,6
H04M03.11,2
glf-1,8
H04M03.3,3
nspb-6,14
H04M03.12,5
lin-33,4
H32C10.1,2
mcu-1,1
pfkb-1.2,0
inx-7,4
rps-25,7
K02B2.6,9
unc-44,7
C46G7.5,2
C46G7.2,7
C46G7.1,3
pqn-22,7
kcc-2,0
K08B4.2,4
ugt-19,5
ugt-20,2
K08B4.7,11
cpi-1,7
lag-1,7
M03D4.3,2
zen-4,4
M03D4.4,4
C11D2.3,5
C11D2.7,4
C11D2.4,1
unc-77,3
asp-9,5
tkr-2,3
C49A9.10,1
ugt-24,2
C49A9.6,1
C49A9.5,3
C49A9.9,5
C49A9.4,2
C49A9.3,2
C49A9.2,5
C49A9.1,12
F58F9.4,12
F58F9.3,3
F58F9.6,12
F58F9.8,6
F58F9.9,12
acox-3,1
F58F9.1,4
T13A10.2,1
T13A10.64,2
nlp-16,5
srv-29,6
srv-30,9
srv-31,5
aat-4,2
T13A10.1,2
sams-5,1
srv-32,10
ops-1,9
srv-24,3
hil-2,4
srv-27,10
srv-26,9
srv-25,9
csp-2,5
Y73B6BL.12,2
Y73B6BL.29,1
sqd-1,4
lsm-8,4
seu-1,0
blos-2,0
mif-4,3
ipla-6,0
Y73B6BL.288,2
Y73B6BL.14,6
Y73B6BL.289,2
Y73B6BL.47,3
smg-3,0
Y73B6BL.270,3
hrpf-2,4
bli-6,2
shl-1,0
sfrp-1,7
srv-13,2
Y73B6BL.35,3
exos-2,0
Y73B6BL.22,9
Y73B6BL.23,2
htp-2,1
puf-11,2
acp-6,3
acp-7,10
dlc-5,3
Y73B6BL.31,2
lgc-10,5
acr-25,3
Y73B6BL.36,4
Y73B6BL.27,4
tyr-6,9
Y73B6BL.44,5
pqn-89,3
C01G5.7,3
C01G5.9,1
ddi-1,0
C01G5.5,1
prg-2,2
C01G5.3,6
C01G5.25,7
fan-1,0
paqr-1,0
try-3,3
best-9,3
bicd-1,4
C43G2.3,2
odr-8,0
F38A5.2,0
dnj-11,0
lec-11,3
nspb-1,6
nspb-2,9
irld-7,2
nspb-3,14
F38A5.22,5
F38A5.6,9
nspb-4,9
nspb-5,9
F38A5.8,5
sup-36,4
F15B10.3,0
nstp-2,1
drh-1,1
C01B10.3,2
C01B10.10,1
C01B10.4,1
C01B10.9,0
C01B10.8,1
C01B10.7,10
C01B10.6,1
hil-7,4
C01B10.11,0
Y73B6A.1,5
Y73B6A.3,5
smg-7,1
lin-45,0
H34C03.2,0
spd-3,1
anat-1,0
dyci-1,0
C17H12.2,1
vha-8,4
C17H12.3,2
C17H12.12,2
C17H12.4,2
C17H12.11,5
C17H12.37,12
C17H12.10,5
ceh-48,0
C17H12.5,3
C17H12.8,1
C17H12.6,6
H20E11.3,2
H20E11.2,6
H20E11.1,2
lip-1,1
R13H7.2,3
srx-20,10
srx-19,6
tre-2,1
T05A12.3,0
T05A12.4,0
T22D1.8,2
T22D1.5,3
T22D1.17,3
rpn-1,0
ribo-1,4
T22D1.3,0
ruvb-2,0
T22D1.18,1
T22D1.11,1
npr-12,1
jnk-1,8
B0478.3,8
ZK381.2,3
ZK381.8,11
ZK381.62,3
nhr-249,9
pgl-1,3
him-3,3
prkl-1,0
C25A8.5,2
cht-3,10
trxr-1,0
C06G3.6,4
C06G3.5,4
C06G3.8,0
ufl-1,0
C06G3.3,5
cogc-2,4
klp-18,1
tin-9.1,7
nhr-105,1
srx-50,10
Y43B11AL.1,0
srg-48,8
srg-50,5
Y43B11AR.1,4
Y43B11AR.3,1
rps-4,7
deb-1,7
ZC477.4,2
rde-8,1
ZC477.3,0
ZC477.2,5
ZC477.7,11
ssq-3,11
nas-8,5
C34D4.10,9
str-48,5
grsp-3,2
cyn-12,0
mutd-1,0
hecd-1,4
C34D4.4,4
col-113,8
C34D4.3,11
C34D4.2,3
maph-9,8
rpc-1,0
C42D4.18,4
skr-16,0
str-1,5
str-44,6
C42D4.3,3
