"","theta_1","theta_2","mu_1","mu_2","size_1","size_2","prob_1","prob_2","total_mean_1","total_mean_2","foldChange","norm_total_mean_1","norm_total_mean_2","norm_foldChange","chi2LR1","pvalue_LR2","pvalue_LR3","FDR_LR2","FDR_LR3","pvalue","pvalue.adj.FDR","Remark","Type","State"
"C17B7.10",1,0.996695146584636,0,1.7263318331963,1,10364.9653186591,1,0.99983347321485,0,0.00298848076505108,0,0,0.00570528146055205,0,70.3002320537807,1.67603964040808e-09,0.859108830715191,2.11349113304273e-09,0.894693220153098,3.66373598126302e-15,9.48360164345323e-15,NA,"DEs","down"
"str-164",1,0.997021758353983,0,2.24405219751185,1,18536.8136923143,1,0.999878955434066,0,0.00402086502934145,0,0,0.00668332971093241,0,68.8964466170182,0.000123897756321378,0.866473913334627,0.000140826677542152,0.901905932095522,7.32747196252603e-15,1.88534325731033e-14,NA,"DEs","down"
"T05H4.3",1,0.996876751757743,0,1.91370046194804,1,16142.4081349748,1,0.999881462939016,0,0.00331449684851119,0,0,0.00597696153010215,0,68.8961765411609,2.26841279094003e-09,0.835960032373771,2.85288337937742e-09,0.871543335774297,7.32747196252603e-15,1.88534325731033e-14,NA,"DEs","down"
"sro-1",1,0.996763121194466,0,1.7290142030502,1,14069.3046871151,1,0.99987712244603,0,0.00293414475114106,0,0,0.00559660943273201,0,68.8952133947564,2.69335254099445e-09,0.81257321907418,3.38040987215278e-09,0.84766317180304,7.32747196252603e-15,1.88534325731033e-14,NA,"DEs","down"
"cyp-34A8",1,0.996703228706616,0,1.64816208590969,1,10114.3405539508,1,0.999837073554333,0,0.002771136709411,0,0,0.00543360139100196,0,68.8933040835984,2.42853137599752e-09,0.661680131415026,3.0520765635305e-09,0.692129327477765,7.32747196252603e-15,1.88534325731033e-14,NA,"DEs","down"
"mam-1",0.995742368536999,0.986723726808242,1.96729551839539,1.87855658213974,2.45929566473239,2.48135847916487,0.555573253321008,0.569130004661691,0.00517498932991891,0.0147793957835253,0.350148910396425,0.0083760136577038,0.024940230384699,0.335843475721962,67.4438561853226,6.27415078809923e-05,0.523203331701246,7.19046862412861e-05,0.547559042351287,1.50990331349021e-14,3.86178564676884e-14,NA,"DEs","down"
"clec-194",1,0.997267606650977,0,2.80390730355157,1,49.7760556731095,1,0.946673463714758,0,0.00510758530754184,0,0,0.00766137796131276,0,66.0807793759312,1.15916767173818e-06,0.992419082168634,1.37647669550018e-06,0.993144593641261,2.94209101525666e-14,7.47071342225005e-14,NA,"DEs","down"
"R13D7.2",1,0.997191033934028,0,2.39862837869194,1,15401.4323292177,1,0.999844283647016,0,0.00418387307107151,0,0,0.00673766572484243,0,66.0806879132186,1.38557820772434e-09,0.845283390721975,1.75116162486293e-09,0.880816321889092,2.94209101525666e-14,7.47071342225005e-14,NA,"DEs","down"
"ZC155.2",1,0.997176262341675,0,2.34759651908244,1,10021.6374148601,1,0.999765802072088,0,0.00407520104325147,0,0,0.00662899369702239,0,66.0803048177376,0.000156744643938334,0.940773933607003,0.00017753921240418,0.968929515301645,2.94209101525666e-14,7.47071342225005e-14,NA,"DEs","down"
"hlh-32",0.975481229098721,0.959384232514518,5.81618074106633,4.99804326677807,1.23240323767577,1.19679004156143,0.174844088031382,0.193191645681621,0.117477592829706,0.161703977396218,0.726497855657896,0.142605633802817,0.202999347967833,0.702493063304883,65.3481781975133,4.96191976395721e-12,0.0732729900591439,6.57957717059013e-12,0.0778545267381331,4.22994972382185e-14,1.07062059882515e-13,NA,"DEs","down"
"bath-37",1,0.997069981766314,0,1.79882613335272,1,15218.6836118425,1,0.999881815432547,0,0.00282547272332102,0,0,0.0052705933492719,0,63.2680652951063,0.000159223422079302,0.751347648258259,0.000180280540393071,0.785056655630714,1.17683640610267e-13,2.9430711677326e-13,NA,"DEs","down"
"F07A5.4",0.954792780902234,0.970359936974607,3.09784199171139,3.06877111396283,20.4254905539671,11.9864112020363,0.868307690430517,0.796165131079041,0.0976845924029023,0.0631384481634427,1.54714908656025,0.140044814340589,0.0909584872853727,1.53965636984719,62.8966997761781,2.55351295663786e-15,0.456451661815551,3.62642992804362e-15,0.477943606456535,1.41331391034782e-13,3.52662928100089e-13,NA,"DEs","up"
"oac-41",1,0.997225283350335,0,1.97783464037026,1,14374.4431488729,1,0.999862425102698,0,0.00309715279287111,0,0,0.00548793740491198,0,61.8600129826801,0.000239560885301082,0.866359000776003,0.000270075961466813,0.901862517073118,2.35367281220533e-13,5.84718276126465e-13,NA,"DEs","down"
"sto-3",1,0.997316306853801,0,2.04491978920786,1,12471.1811499696,1,0.999836055261263,0,0.00315148880678113,0,0,0.00548793740491198,0,60.4526762290928,0.000174300327992705,0.83060817863153,0.000197079666012309,0.866256900088076,4.70512517836141e-13,1.16088106290549e-12,NA,"DEs","down"
"sru-38",1,0.997273046746338,0,1.813224062548,1,13157.5463507399,1,0.999862210311053,0,0.00266246468159096,0,0,0.00494457726581178,0,59.0444796655918,0.00143062140929495,0.88157329820005,0.00157424578086047,0.915843075623966,9.4046992415997e-13,2.3077507700444e-12,NA,"DEs","down"
"srh-276",1,0.997288139934719,0,1.72314055287964,1,16887.7302156813,1,0.999897975350857,0,0.00244512062595088,0,0,0.00467289719626168,0,57.6396349980949,0.000380626937480422,0.76263082876239,0.000427000898721435,0.796710914131489,1.87649895622144e-12,4.56296466396078e-12,NA,"DEs","down"
"F36A4.1",1,0.997306542231615,0,1.75507975073715,1,12615.9063475981,1,0.999860902928737,0,0.0024994566398609,0,0,0.0047272332101717,0,57.6374730846511,0.000357845950533453,0.772544999964429,0.000401700420097689,0.806862868731923,1.87849735766576e-12,4.5672076107566e-12,NA,"DEs","down"
"F47B10.3",1,0.99728814082955,0,1.7231341677717,1,10171.0970683466,1,0.999830613916941,0,0.00244512062595088,0,0,0.00467289719626168,0,57.6362418178857,0.000308484793012598,0.811397029022707,0.000346700661367926,0.846507866674549,1.87971860299285e-12,4.56956016077712e-12,NA,"DEs","down"
"nhr-255",1,0.997453274513281,0,1.92019746414308,1,10670.3114169516,1,0.999820075356915,0,0.00271680069550098,0,0,0.00489024125190176,0,56.2309282502277,0.000988014560426409,0.901975714426529,0.00109394620153261,0.934910045577557,3.75033337718378e-12,9.03409628604666e-12,NA,"DEs","down"
"gcy-25",1,0.997612198422828,0,2.18454388554111,1,17183.5022838415,1,0.999872885855105,0,0.00309715279287111,0,0,0.00521625733536188,0,54.8241911636491,0.000623839684212313,0.839613037930918,0.000695350122997891,0.875203708207878,7.48545669893019e-12,1.79308586475105e-11,NA,"DEs","down"
"F47B8.8",1,0.997475916284335,0,1.82979713433073,1,11008.3771687407,1,0.99983380901558,0,0.0024994566398609,0,0,0.00461856118235166,0,54.8232300418628,0.000619330404566409,0.874331805567548,0.000690573860463224,0.909700856734413,7.48900941260899e-12,1.7936983990636e-11,NA,"DEs","down"
"C14E2.1",1,0.997452759745151,0,1.66384347464819,1,16581.6113863068,1,0.999899667378633,0,0.00217344055640078,0,0,0.00423820908498153,0,53.4181415149615,0.00013143159268636,0.895776950299158,0.000149252209594981,0.929110290258093,1.49312784358813e-11,3.54743389556689e-11,NA,"DEs","down"
"dac-1",0.991647039677522,0.981596960107773,7.15340060640299,6.44543065873665,1.24314738406359,0.832727114639113,0.148054579748136,0.114414545626548,0.0499893299189074,0.0982938491632254,0.508570275194899,0.0597524541186513,0.118615518365573,0.503749045167045,53.2135493547785,0,0.309093645720379,0,0.324778994906189,1.65089053538736e-11,3.91708730219132e-11,NA,"DEs","down"
"Y39H10A.1",0.46276683163202,0.997128491449117,0.000496512489509471,14.9298256572043,0.000122729081373692,0.580536679579492,0.198192574827713,0.0374289566532377,0.000160051216389245,0.0387415779178439,0.00413125187437259,0.000266752027315408,0.0428711149750054,0.00622218543816573,52.4169234045318,0.00209930319461005,0.227399610851125,0.00229631673245101,0.240312506921072,2.44088083078964e-11,5.76947114241749e-11,NA,"DEs","up"
"F18G5.1",1,0.997703127314402,0,2.08177346778365,1,12613.0797797367,1,0.999834978453585,0,0.002771136709411,0,0,0.00478156922408172,0,52.0105905762674,0.000617832842510158,0.840569332875009,0.00068915351921459,0.876126411253817,2.97954994010752e-11,7.01963550048652e-11,NA,"DEs","down"
"W01C9.1",0.975750014634724,0.962478590079701,1.9580160275182,1.93470650043803,2.22685569561931,3.23582130526974,0.532120419201232,0.62582030826673,0.030089628681178,0.0428711149750054,0.701862517425094,0.0474818608621426,0.0725929145837861,0.654083957565024,51.7534597660451,8.69435506922756e-08,0.220658113618447,1.0578160621458e-07,0.233248216197278,3.38025163415523e-11,7.95748248280944e-11,NA,"DEs","down"
"trx-1",0.92297616587629,0.935787054830509,4.1655962913316,3.22227309502466,0.485883430917835,0.378501585218535,0.104457819861862,0.105116709272398,0.260776781903542,0.164094762008259,1.58918407091152,0.320849338454972,0.206911540969354,1.55065946032702,51.5473292077659,0.00603933540698098,0.0764679211859451,0.00652100019404082,0.0812422205080066,3.74003050751526e-11,8.78721826074529e-11,NA,"DEs","up"
"scl-26",1,0.99769364170446,0,1.88473583975095,1,12510.2004551467,1,0.999849366767331,0,0.00239078461204086,0,0,0.00434688111280157,0,50.603835252798,0.000579247430332774,0.599819657524169,0.000646523676544644,0.627635313461675,5.94141402743276e-11,1.38779353193606e-10,NA,"DEs","down"
"C46H11.3",0.460494545204744,0.997314777313156,0.000395544874539648,2.67105183996423,0.00015746515616688,14970.7440226978,0.284741952990802,0.999821613718269,0.000106700810926163,0.00467289719626168,0.0228339735381989,0.000213401621852326,0.00717235383612258,0.0297533594588652,49.6944154334323,2.61283021329994e-07,0.142976340037355,3.14755727269535e-07,0.151602419249523,9.28064292082809e-11,2.15352991836217e-10,NA,"DEs","up"
"F13E9.15",1,0.99781315734819,0,2.03744582080541,1,13827.4258314,1,0.999852673543437,0,0.00255379265377092,0,0,0.0044555531406216,0,49.1973163233405,0.000623696856657419,0.841984469337743,0.000695253825010803,0.877527168787835,1.18419274386383e-10,2.73798979382069e-10,NA,"DEs","down"
"ZC477.2",1,0.997813479643361,0,1.8637837481589,1,12557.8423767286,1,0.999851606102536,0,0.0022277765703108,0,0,0.00407520104325147,0,47.7900040247288,0.000507481926482534,0.833513338041774,0.000567657284752571,0.869139595825193,2.36025643474136e-10,5.41893461556013e-10,NA,"DEs","down"
"F59A7.14",1,0.997880891269425,0,1.87179093698698,1,14237.0018498667,1,0.999868543609263,0,0.00217344055640078,0,0,0.00396652901543143,0,46.3845033748127,0.00191534521536063,0.925544189522882,0.00209788878496115,0.95716481280298,4.69825844895411e-10,1.0692751922228e-09,NA,"DEs","down"
"srz-91",1,0.997813108688164,0,1.71439018607183,1,16189.1400636337,1,0.999894113668246,0,0.0019560965007607,0,0,0.00374918495979135,0,46.3841594350536,0.0013353725998364,0.769494010188253,0.0014704853798699,0.803744485419184,4.69905003797066e-10,1.069320266314e-09,NA,"DEs","down"
"srh-207",1,0.997865463562456,0,1.832808064513,1,10599.6271535435,1,0.999827117390326,0,0.00211910454249076,0,0,0.00391219300152141,0,46.3837109178399,0.000729175848169228,0.859554772138517,0.000810268463014782,0.895081970479801,4.70008254538357e-10,1.06942014571395e-09,NA,"DEs","down"
"M04D8.7",1,0.997861456203653,0,1.67691593023661,1,14157.538879101,1,0.999881567174728,0,0.00184742447294067,0,0,0.00358617691806129,0,44.9783798538195,0.00151015777619179,0.829947654875784,0.00165998784820511,0.865641306135257,9.35111321709314e-10,2.10850632940113e-09,NA,"DEs","down"
"nhr-26",1,0.997840405858669,0,1.63541917675644,1,16462.2407516508,1,0.999900666212514,0,0.00179308845903065,0,0,0.00353184090415127,0,44.9777254105463,0.00159412546606352,0.897566844630189,0.00175025628214086,0.930810061097973,9.35410859881358e-10,2.1089177889654e-09,NA,"DEs","down"
"str-4",1,0.998067391107832,0,2.05242201404839,1,18386.4333037764,1,0.999888385479661,0,0.00228211258422082,0,0,0.00396652901543143,0,43.5730505719671,0.00166864418583446,0.861725177780351,0.00182979050907704,0.897190415807819,1.85962734100542e-09,4.15206917530718e-09,NA,"DEs","down"
"str-30",1,0.998122182632914,0,2.02550402445508,1,10946.80252855,1,0.999815002663442,0,0.00217344055640078,0,0,0.00380352097370137,0,42.1654172698213,0.000307972130275669,0.928727684063057,0.000346156066508187,0.959977717128712,3.70058472753954e-09,8.18994261874808e-09,NA,"DEs","down"
"cutl-4",1,0.99819858541119,0,2.35271164771045,1,15166.7258166973,1,0.999844900819564,0,0.00260812866768094,0,0,0.00423820908498153,0,42.1654109105417,0.00293697992670838,0.934126273812784,0.00319812556982917,0.963694162901817,3.70059627385899e-09,8.18994261874808e-09,NA,"DEs","down"
"Y44A6D.7",1,0.99801709028173,0,1.72633622336371,1,14106.9699555612,1,0.999877640273229,0,0.00179308845903065,0,0,0.00342316887633123,0,42.1652764503674,0.000562229496412714,0.809203367509425,0.000628041290761142,0.844433803804516,3.70083941270138e-09,8.18994261874808e-09,NA,"DEs","down"
"ZK697.8",1,0.998022439240825,0,1.59362426449639,1,15332.8172537632,1,0.999896075286024,0,0.00157574440339057,0,0,0.00315148880678113,0,40.7600626872313,0.00119379349991688,0.894688932413319,0.00131799766278125,0.928216222933229,7.35207994484455e-09,1.61236772861257e-08,NA,"DEs","down"
"str-131",1,0.998085058325992,0,1.73086049568411,1,17142.7211466297,1,0.999899042530204,0,0.00173875244512063,0,0,0.00331449684851119,0,40.7596984581185,0.0013376869244055,0.845798455494499,0.00147290221723798,0.881203972236129,7.35338756552295e-09,1.61236772861257e-08,NA,"DEs","down"
