,cluster0,cluster1,cluster2,cluster3,cluster4,cluster5,cluster6,cluster7,cluster8,cluster9,cluster10,cluster11,cluster12,cluster13,cluster14
hyp1_hyp2:510_580,0.14546984880094577,0.058710662071890116,0.007111569874365781,0.2709268445407201,0.4115670179024487,0.004378579473618309,0.00036274012848761113,0.041542498389783966,0.057163462291561364,0.002144702289460479,0.00020302389917892547,0.0002485839774112108,6.88008372406646e-05,2.5288402973875235e-05,7.637711991299971e-05
hyp1_hyp2:580_650,0.13260029535578036,0.07745289746049304,0.022927077844062213,0.1544621505407731,0.28017974739596996,0.016216516675325286,0.00022440994314085525,0.12602864476992856,0.18764511472078504,0.0016581286343050553,0.00011644888654679987,0.00031767256249967007,0.0001009223683405599,1.6147578934489584e-05,5.3825263114965275e-05
hyp3:330_390,0.1884307601270533,0.0532383992983869,0.004786402496725453,0.010572489560978313,0.5951074752605577,0.00037228367404659106,9.261244108055592e-05,0.07402749804994267,0.07299531252674453,0.00011838906109527609,0.00015578044269765672,5.155324002944036e-05,4.462513662627447e-05,0.0,6.418684035286053e-06
hyp3:450_510,0.16382855485289907,0.09753527748149034,0.005476610400107314,0.04709343830118301,0.4353195830489645,0.0020396072710434734,0.0004609795381468313,0.07464594984968081,0.17204409004921348,0.00022078276266978617,0.001062400871069579,0.00015190432361424482,5.617671791036654e-05,2.1582599344240085e-05,4.3061932662909644e-05
hyp4_hyp5_hyp6:270_330,0.20978899401938012,0.06653509946126988,0.004325075913433361,0.004894275922116073,0.5548890100180808,0.0005205607424040339,0.00019154223456024878,0.14501123928830703,0.013494281067426887,0.0001252159623620514,7.476779775069523e-05,9.647457774283255e-05,1.8390466382227453e-05,8.039548145236045e-06,2.70329806383562e-05
hyp4_hyp5_hyp6:330_390,0.20899388373951175,0.11674885275534125,0.0042901931968344015,0.010230337049866525,0.45867271953320354,0.0006412735211904078,0.0002270528212267463,0.18068803233714412,0.018964536660038934,0.00016175001866153166,8.84099480882906e-05,0.00019540607844514225,7.47465924746457e-05,3.315373053310897e-06,1.9490374919464064e-05
hyp4_hyp5_hyp6:390_450,0.19669222482090848,0.15969069412596448,0.004869592262513727,0.018213741062382677,0.3628375737163914,0.0007849380184471064,0.00012189673342065216,0.2021817287933347,0.054121744666233276,9.901578512076228e-05,0.00013667823099491728,0.00019894275844815738,3.3612720511342615e-05,0.0,1.761630532823378e-05
hyp4_to_7_and_P_cells:450_510,0.15049282841197986,0.19163009244923246,0.005442227405167774,0.045242350703109134,0.2864167979112828,0.001304438927752009,0.00015058982359996884,0.2073064728996858,0.11108674175702392,0.00023385832525544756,0.00017895157992141064,0.00026474336950584325,0.00020620308955411276,2.270959136058511e-05,2.0993755568896454e-05
hyp4_to_7_and_P_cells:510_580,0.06511200779914222,0.15361569460404711,0.006584862258580931,0.08906091244640006,0.16982626176415663,0.0035099366864213204,0.000335283253342648,0.3754636992602996,0.13569856089369067,0.00024937007083199045,9.851781609496754e-05,0.00031592253615714765,9.297177731787112e-05,1.1192914622867347e-05,2.4805918893922226e-05
hyp4_to_7_and_P_cells:580_650,0.03437840959140903,0.0710801928338636,0.01156646313414809,0.08061220447099474,0.0720104697485097,0.013987017858635207,0.00027309494600956266,0.6724537122212356,0.042205014361931144,0.0005781467387836256,0.0002178509333062625,0.00032682680508047327,0.0001797446617700444,8.77049106785971e-06,0.0001220812032549208
hyp4_to_7_and_P_cells:gt_650,0.05567762327550993,0.05673200382616319,0.03415823894220073,0.11322688285849611,0.08562957766837047,0.013174653545211553,0.0013564569184457728,0.5911904633769003,0.043518688629783656,0.0028463223078552024,0.0013572817003373564,0.0004236285990646561,0.00020609237515946643,3.247578698110651e-05,0.00046961018952044494
hyp7_AB_lineage:270_330,0.21092870252434587,0.06792827126939394,0.004835170345706005,0.004771384729563028,0.5412040036506233,0.000507978216610336,0.0001905545136346769,0.15863041450621307,0.010514798062361472,0.00019657202459156145,8.284106750644374e-05,0.00010069301667853454,7.381480107111695e-05,4.5131332176634e-06,3.0288138482985487e-05
hyp7_AB_lineage:330_390,0.1957735407953137,0.10927726267960827,0.005640440284079867,0.008121395624878028,0.45753784612681553,0.001612987012466051,0.00015143063844962304,0.20347574432170207,0.01773704059604704,0.00017760507330747178,0.00011021342493783824,0.00024168731037323943,9.717635010442698e-05,1.594534537317223e-05,2.9684416543767167e-05
hyp7_AB_lineage:390_450,0.17533978492027077,0.1530609821866976,0.006214632988014457,0.016353444736905653,0.35237024381605536,0.0014620712693084767,0.0001318087786658939,0.2406025371680632,0.05348427953925285,0.00020948540242930625,0.00027367929616124536,0.00032187502515434703,5.7653763492791774e-05,1.569631257395378e-05,0.00010182479695411042
hyp7_C_lineage:270_330,0.18879839176778723,0.07127244321591146,0.005891629046350272,0.005038848448676593,0.5440407635737167,0.0008181204206743749,0.00027607932893088983,0.17332723073800735,0.009960393234734145,0.0002702692414570177,4.7482439010610224e-05,0.00011650227124333268,9.877148705582631e-05,1.222121847952415e-05,3.085356796470031e-05
hyp7_C_lineage:330_390,0.17324339082907084,0.10092651132964947,0.006096618889929813,0.009490854620783631,0.4544730949005305,0.0009487548156646243,0.0002469828514746329,0.2391180758382638,0.014842917904503306,0.00022183368485388934,9.14788411344178e-05,0.0001615157633172853,0.00011021547124628649,7.614887104288885e-06,2.013937247318508e-05
hyp7_C_lineage:390_450,0.15960966646657745,0.1242522874351571,0.006588792789642679,0.015185737215659469,0.36314956941009674,0.000978332857782739,0.00016128240689955496,0.29173408093968123,0.03754126526299118,0.000267867295591109,0.00011090047269695597,0.0002624477249796741,0.00010658488869155407,1.4954000390811257e-05,3.623083316162996e-05
I5:330_390,0.1831399902349231,0.06452118528383759,0.005911980632975126,0.012698616380674457,0.5916316318872911,0.0007851607906107787,0.00025633069357689246,0.10231178566099075,0.03853971627312679,2.821800323024047e-05,3.439712802518364e-05,2.3480674220784043e-05,3.903147162139102e-05,0.0,7.847488489577823e-05
I5:390_510,0.19653103305593483,0.0547940974842842,0.007090327644510421,0.019336365164113533,0.5246094638857062,0.002293239920801521,0.00023198886866589567,0.09217932057835258,0.10258018928680362,7.457522848476253e-05,8.87259297346413e-05,0.00019067295260785544,0.0,0.0,0.0
I5:510_650,0.1719324161707102,0.06124588035904943,0.0045383788998267964,0.040050438842334876,0.4418355510897529,0.006696394406678628,0.0002819164360798434,0.09260220660110541,0.18005493957722052,0.0001951490516810948,0.0003937108848701261,2.7715922549302286e-05,2.4613393905723672e-05,0.0,0.00012068836423520808
IL1:390_510,0.15352701463965898,0.04116959451669008,0.0026958216910306634,0.019496819474189044,0.4797709113745808,0.0018985437206795917,6.17379351400061e-05,0.09219150044443136,0.20882202384310877,4.569016060858067e-05,6.224901076202602e-05,0.0002276330820476715,0.0,1.134587880884218e-05,1.9114228263544934e-05
IL1:510_650,0.15413078716378126,0.049432104204027785,0.0032534612330654506,0.04358503426569729,0.4182321032047244,0.009145812106810543,0.0002621089548827005,0.1279346730383362,0.19359057207205144,7.744601367463432e-05,7.473956696019818e-05,0.00017362896614151886,6.526700345967166e-05,0.0,4.226220638696441e-05
IL2:330_390,0.17514206309189556,0.03991141534617805,0.002047735156188356,0.007411176289129153,0.6217133733508377,0.0006617139890883964,0.00016341511700950542,0.07071225951829342,0.08198535400933842,3.2417970810369755e-05,3.3437403854721e-05,8.614209224768063e-05,8.430711276784838e-05,7.237974614893875e-06,7.95157774593975e-06
IL2:390_510,0.1558867817591143,0.03822440216791906,0.0020752030534391414,0.01742103184254147,0.5140171326767319,0.0017096353322470807,7.173366052811193e-05,0.09503522914135823,0.17527465519902133,6.858833736492739e-05,4.3324290021928986e-05,0.0001241895339270283,3.449709275750786e-05,0.0,1.3595913027958979e-05
IL2:510_650,0.12723285752879812,0.04964002071080023,0.0037965700914235068,0.04860519811569433,0.3717236083854963,0.02163678044624969,0.00011970612965075736,0.09739210767648353,0.2788692649182739,0.0003774637632737495,5.0526645477588504e-05,8.117059476318479e-05,5.5856027962040034e-05,0.0,0.0004188689656529498
ILsh_OLLsh_OLQsh:390_450,0.14793494823691675,0.06393515058163783,0.003046320423189531,0.026573230206350322,0.5084181598192938,0.0016183448201816148,0.00033995977882483137,0.07621210682149479,0.17133456667258556,0.00018902713484004444,6.91688587344783e-05,0.00020389327761282782,0.00012512336833759357,0.0,0.0
ILsh_OLLsh_OLQsh:450_510,0.13736138220020983,0.06680275050214854,0.00476242387644584,0.03063876723478504,0.4999645806398798,0.0026603307862015976,0.00015433450288672887,0.08350496922394447,0.1733704185261831,5.113861504381692e-05,2.582449023170794e-05,0.0005615040346427882,8.737455983534388e-05,0.0,5.4200807561410744e-05
ILso:390_450,0.16266520726912495,0.06740206556608912,0.004465032129073136,0.04035300052607865,0.49818588777804973,0.0010466012263096122,0.00017388478887762925,0.0586071993035554,0.16653738486949227,0.00024261558116772176,5.257699829376836e-05,0.00018304203515580027,6.245447742527867e-05,0.0,2.3047451306857365e-05
ILso:450_510,0.13176157610310277,0.061287851444818485,0.0034495874694827266,0.0561198642385434,0.4636716566449701,0.0006239518958561984,0.0,0.05691537988736744,0.22572183633165804,0.0,2.5473687828856106e-05,0.00035929153275077364,6.353076362136401e-05,0.0,0.0
ILso:510_580,0.13473583013296733,0.0709599632948808,0.0038171219228794245,0.05172371989916616,0.4879159207629168,0.00203345287396358,9.223739760127053e-05,0.07157941892709335,0.17655558525815276,0.00021945072113859328,0.00022079198083525608,3.4563230644771397e-05,0.00011194359775993123,0.0,0.0
Intestine:210_270,0.21788211496405338,0.12002217136210437,0.011681621729540901,0.010930999464888033,0.5018224020494658,0.000962117465458377,0.00031317751614294586,0.1288073025769591,0.006404781337350303,0.0005924274680370726,9.746646415858989e-05,0.00020025293099524904,0.00026318956645089876,6.624908995331547e-06,1.335019539968327e-05
Intestine:270_330,0.20333897530413872,0.10370181100842403,0.009404154111676513,0.008703823418352134,0.5208710785594275,0.0008626477054714677,0.0002955413583345673,0.14541547737854613,0.006578052412544437,0.00040759828204797917,8.948502771026273e-05,0.00016933937979251513,0.00015057962622545332,5.2166159651722665e-06,6.21981134309001e-06
Intestine:330_390,0.19174205804305214,0.10707641101145764,0.009359668840696967,0.011230981409611254,0.49144042574189467,0.000687326884550625,0.0003093972914711851,0.17952477257345303,0.007830917586400546,0.000382037523438999,0.00010309903268259376,0.00016722282366107768,0.00013215512546971926,7.113733061675564e-06,6.412379097848396e-06
Intestine:390_450,0.1688823132568615,0.12514624331174232,0.010497106341704053,0.03102510653597598,0.33478311435762864,0.00131805876986734,0.0003277335319670143,0.31152868426025093,0.015428261728841543,0.00043620871508285707,0.00020801947696497879,0.0002702346606206888,9.512902275098885e-05,1.9065943378362744e-05,3.472008636270268e-05
Intestine_anterior:450_510,0.15362907969376427,0.12276167245191758,0.011516092651632764,0.05234792495278529,0.31831958998700927,0.002187973071688975,0.00032102079379485926,0.3178404739997812,0.02007376232646889,0.0003849230521207952,0.00026516921368321446,0.00025369699722784965,6.329845745986409e-05,8.453212125005698e-06,2.686913854019669e-05
Intestine_anterior:510_580,0.13526527397385765,0.1282325826655067,0.012295708265372832,0.078854752208343,0.2675709566026601,0.003324318017497619,0.00026878835645080984,0.3456164243175544,0.027223327688442284,0.00045573216840929436,0.00034590142051122943,0.0004268399368357429,6.140857581834981e-05,2.4160751141645827e-05,3.382505159830416e-05
Intestine_anterior:580_650,0.12273010166667173,0.14027569733814682,0.01580841597091722,0.10539875345100803,0.2504275366485202,0.004962289825162375,0.00035173299360384596,0.32971563794600844,0.02876040093728218,0.0004928498442065935,0.00039056786671468074,0.0004396914594548794,0.00014071337140159597,4.044878991544084e-05,6.516189098597205e-05
Intestine_anterior:gt_650,0.1223309159322212,0.1319198131929751,0.021104026144310475,0.09601555440316935,0.22987103513392676,0.004763932479804632,0.00040313441019207305,0.3632599399835654,0.02782490716163863,0.0007033771942768566,0.0009693896910420442,0.0005330288142728854,0.0001858072194386273,3.834595236388743e-05,7.679228680202587e-05
Intestine_far_posterior:450_510,0.14003295755175232,0.13944998009099766,0.010642458876536405,0.04598748047850854,0.2687234202740075,0.002068905681252242,0.0002445848117461906,0.3639108970485156,0.027301905426400905,0.0004603830983238995,0.0005184594095903819,0.000360838086465059,7.649566128687443e-05,6.250500744624871e-05,0.00015872849717026442
Intestine_far_posterior:510_580,0.13122276838520627,0.15876315645389838,0.011349365175859855,0.0682255587135067,0.2495377097649189,0.00220671177157967,0.00022777984427683229,0.34510209306384665,0.031642038580198525,0.0004156301540987617,0.00033788856050095836,0.0006350409292852986,0.00010708375149269407,4.1341184662904484e-05,0.0001858336666676414
Intestine_far_posterior:580_650,0.12852562729856634,0.15565197280543128,0.012113706068693846,0.07498812139705471,0.23493281724183626,0.0032224143065238847,0.00027148213221300766,0.35208844230828334,0.036696846463955296,0.0004481369866188734,0.0003986575037248175,0.0003892856261094464,9.855587427777338e-05,2.9324907377128884e-05,0.00014460907933395173
Intestine_far_posterior:gt_650,0.11288217169069213,0.15352794656830693,0.01761751392293302,0.09207509803248584,0.21123926005918137,0.004272474096465034,0.0004599794247277894,0.3680555059285511,0.03720730286283344,0.00079988106965246,0.000486551540291933,0.0007864943599174938,0.00028021503685824194,4.539403075541203e-05,0.0002642113763480191
Intestine_middle_and_posterior:450_510,0.1561774866430591,0.12721285752338676,0.010251708793838592,0.04294382127839275,0.27441687350643384,0.001818007846139125,0.00025392068497740366,0.36642793035163446,0.019542956823543598,0.0003698868341070601,0.0001925740900698538,0.0002387597425370763,5.9539330245788995e-05,1.6767399917448167e-05,7.690915171715745e-05
Intestine_middle_and_posterior:gt_650,0.1257936015003348,0.1284435099100118,0.015821951339576774,0.07429478559262312,0.23403681077793176,0.003296670134576768,0.00023089323398608046,0.39240350231850696,0.024412322580405835,0.000453665603033875,0.00026076999635162625,0.00032784232528635824,0.00010416763791208753,2.6468004243302315e-05,9.303904521888089e-05
K_Kprime:330_390,0.18491774214692042,0.04900175177336537,0.0037094144637519954,0.009380367870355233,0.6107444288006394,0.0015051834151231032,0.0002488465970484291,0.12281430935632433,0.016864639555038488,0.0002985954014872123,0.00010421605218516237,0.00011252461540071175,0.0002979799523601346,0.0,0.0
mc1:330_390,0.1766574601936295,0.04860325790319777,0.0020682537871669618,0.009373716734971293,0.610698835558189,0.00027628497478786123,0.00013809205202065794,0.12841310040664025,0.023550999291181266,8.089833872941391e-05,2.8142938286167688e-05,6.7684270931966e-05,2.360375469162451e-05,1.2205360331993871e-05,7.464435244359889e-06
mc1_mc2:270_330,0.2021845719917338,0.04015871635620429,0.0021452845594201616,0.00354449347368985,0.6152919227697558,0.00016477993305104958,0.0002720289412006551,0.12714638799647185,0.008865444501479317,5.5095753477044294e-05,5.2660582052644554e-05,8.401341414179132e-05,1.3697839262248583e-05,1.0146547601665616e-06,1.988723329926461e-05
mc2:330_390,0.18267550372987176,0.06098757200883894,0.0037900106472547237,0.01253463538934182,0.5455309756543144,0.0004954513105979823,0.00019389859689117935,0.17372203404071648,0.019802500140626976,0.00011593520272451767,5.211024791450445e-05,7.301494039183472e-05,2.34294137910175e-05,2.928676723877188e-06,0.0
mc2:390_450,0.17365175755231593,0.08329759238724475,0.005377504419150922,0.019779873832336408,0.495381338648718,0.0006293193065029695,0.0002411048371747162,0.1834620228277856,0.03776945504495815,0.00024487687902480693,7.870314346675724e-05,7.23824246909296e-05,1.4068696630068006e-05,0.0,0.0
mc3:270_330,0.20455081175346163,0.03763153822969569,0.0018098846476814296,0.0025745551191318516,0.6318591676646031,0.00022977385659049042,0.00011030353922252827,0.11379618242976434,0.007293834122817905,5.1877920273609194e-05,1.4304203259907776e-05,3.797665231679741e-05,3.394729928583747e-05,3.525683902089945e-06,2.3168779928019636e-06
MC:330_390,0.17624425589536005,0.05441151352141139,0.0028158202879820884,0.01122665058763245,0.638455095661336,0.00032874902507135757,0.00018243255757480968,0.08701631706428666,0.029141157320042067,6.554401532721589e-05,2.1607917140840403e-05,4.126083225465239e-05,4.959531458040512e-05,0.0,0.0
mc3:330_390,0.18068489970671137,0.046695955510443365,0.0022872093735330397,0.006974924231334315,0.5921940291234563,0.0002301232667738019,0.00014981720787334322,0.15205467995160246,0.018468981128984138,0.00010976506543178278,2.2901350967844383e-05,7.697678761438443e-05,3.843795030285775e-05,1.1299344970918816e-05,0.0
mc3:390_510,0.15138633646669397,0.07468320779614704,0.003497100018289372,0.024128658872895416,0.48166229298755153,0.0003921052992688143,6.267130925894863e-05,0.16242785375137964,0.10130622573918864,7.188767826761755e-05,5.755110425413257e-05,0.0002361438548221169,4.372655074112919e-05,4.42385712416108e-05,0.0
MC:390_510,0.16639919733394304,0.06627630973867418,0.005029565795442992,0.029493642205618148,0.5640053407846949,0.0015761198590173225,7.710796611997773e-05,0.1085766870722353,0.05808242707387655,0.0001451322628710692,0.0001291326179599627,0.00016175124887550881,4.7586040671097364e-05,0.0,0.0
M_cell:330_390,0.19444283292236986,0.05007286394047256,0.004344810271808966,0.005338377132132608,0.4962399605702601,0.0004001090393654259,0.0001041421445783549,0.23552726456585377,0.013139080970466609,7.488074200414395e-05,0.0001680498606171697,6.959743320602253e-05,5.0394637766696604e-05,0.0,2.763576909786588e-05
M_cell:390_450,0.15797532432565556,0.04112169188737874,0.0038176816042864883,0.00746271588344311,0.3912502657952912,0.0005737451364875817,7.272541933708463e-05,0.3817847805037052,0.015418695449010464,9.186368758368585e-05,0.00026813721090764443,6.557375067651259e-05,3.5556887847632785e-05,8.662584574777395e-06,5.257987381434651e-05
M_cell:450_650,0.13985736784751931,0.0365203682997478,0.002848582636761049,0.010116315601679589,0.32619336802617743,0.0008708570465673525,5.156724322837336e-05,0.4713426719445266,0.011946648205322895,0.0001289181080709334,5.593218704494826e-05,2.4463987437082634e-05,0.0,0.0,4.2938865916539225e-05
M_cell:gt_650,0.14604578065548293,0.03649102801192866,0.0021564954253970392,0.010364039081003045,0.3232436428963908,0.001058259598559927,0.00014758900439708225,0.47185072876361295,0.008413279901133537,0.00012285623690235916,4.522563199035079e-05,5.017218548929541e-05,3.7351526420602217e-06,4.34085307050242e-06,2.826601999396924e-06
mu_int_mu_anal:330_390,0.16562378392595678,0.05782224050218541,0.0026317252419901594,0.009701660227857909,0.5243017645212136,0.0003229821517298601,6.70762177916009e-05,0.22907300768642638,0.010249550970455669,7.9068632487675e-05,2.6932117749657937e-05,6.849904665384699e-05,1.727720761298811e-05,0.0,1.443154988849595e-05
mu_int_mu_anal:390_450,0.1363337441438665,0.05890244582844718,0.002392301464131179,0.016385334114777824,0.437342179496391,0.0014138359375103213,8.76025429940984e-05,0.3252940554154174,0.0214826435683219,7.44926496689955e-05,0.0001280501208498422,4.918750673914574e-05,3.0996259412064976e-05,3.384181765317258e-05,4.9289133819185295e-05
mu_int_mu_anal:450_510,0.11470815758331904,0.04802186054441903,0.0027880187945636013,0.028623106465930928,0.3610161044942928,0.0022078097513368133,0.00023101102994188295,0.4033082236587473,0.0381769253069396,0.0001754591002712331,0.00045230806125283257,0.0001586619776385775,5.231393012700548e-05,5.545074218491102e-05,2.458855903454996e-05
mu_int_mu_anal:510_580,0.09508625004180875,0.041597794490883355,0.002546953126119877,0.04047920089942935,0.3124581721938759,0.0035690689098587204,0.0004650047339189845,0.4519894811740688,0.05112927324761887,6.231917400357182e-05,0.00034738110533475515,0.0002257926353375742,0.0,2.5618975283686945e-05,1.768929245778384e-05
mu_int_mu_anal:580_650,0.08686209095835083,0.04355787222124437,0.004396355519747778,0.04543354624237159,0.2796234953043618,0.006093781058832568,0.0008255933113527412,0.46975659834417927,0.06281612683324601,0.00010975391140582972,0.00011818870274535182,0.0003354607977320777,5.2946099854108595e-05,1.4532230862068195e-05,3.6584637135276577e-06
mu_int_mu_anal:gt_650,0.09166336491848331,0.05999770208630984,0.009024618074894469,0.04616673476253948,0.2067280439756792,0.008422832606261763,0.0009323552945528625,0.5078682934796441,0.06825947464334679,0.00031160946183994874,0.0,0.00047699742025698503,0.00014797327619119258,0.0,0.0
mu_sph:390_450,0.132891819808122,0.06529665705045551,0.003711431597313176,0.013661432242276113,0.40811659954820095,0.0014138400107988126,9.273246622552557e-05,0.35714228400369025,0.017421718512376227,0.00010227994905706926,3.3314620944109946e-05,3.7885224427295765e-05,3.402560370816108e-05,0.0,4.3979362404876853e-05
mu_sph:450_510,0.1325099869769881,0.06231918501822436,0.004416588337935178,0.020643100041669967,0.3811382783258155,0.002103889846098444,0.00013703067376575278,0.37376390736440973,0.022564894066826716,6.443704302080042e-05,0.000152018403708882,7.881302888461824e-05,0.00010787087265190956,0.0,0.0
mu_sph:510_580,0.11694727874494099,0.05401746548879074,0.004890003848933766,0.030051837249089573,0.30170523705766833,0.004005490238521197,0.00020549306100494025,0.45320002140214294,0.03394534189161846,0.0004813451592017894,0.0003869239404594009,0.00013797681319452265,2.5585104433421417e-05,0.0,0.0
mu_sph:580_650,0.1040654982949188,0.05378761224263496,0.006450326892663586,0.032045978076172224,0.24068581100484057,0.0032253164644769914,0.00011537568147906114,0.5261699282824355,0.03270620036665187,0.00014047065729148292,0.00026706766941837496,0.00021361333069598058,6.436963307982987e-05,0.0,6.243140324065908e-05
OLL:390_510,0.14975838677321954,0.04251964404541843,0.0026930976536394383,0.025882453738069355,0.47702365873683084,0.002631299271527231,9.192893657487541e-05,0.10174032647788064,0.19727919043504524,0.00012574894668603356,1.9267157275447687e-05,0.00018129575117163278,6.9689717804810785e-06,4.673310488087312e-05,0.0
OLL:510_650,0.1457203033799291,0.045694548932206494,0.003515316223974944,0.040993221727961694,0.3957207181053353,0.011071716805585852,0.0003736675909513552,0.14908113439010895,0.20732879927870956,0.00020560012010447764,0.00011695256453749409,7.693156284292607e-05,0.0,2.2913578690413293e-05,7.817573906141006e-05
OLQ:390_510,0.1459061879364633,0.03831893207177846,0.0032519351354533496,0.021289760523154986,0.4762359765535252,0.0015568774881627024,2.5346656408084437e-05,0.08859198097201973,0.2245131193475934,0.00013245672058418318,2.3404775473594096e-05,9.678743394538694e-05,4.74227765054483e-05,9.811608932161718e-06,0.0
OLQ:510_650,0.126991098931629,0.042059310595465874,0.003284093358934324,0.04975205544065446,0.3728525423920765,0.017057226663352777,0.00018314115755210366,0.09575691016074284,0.29149909760893145,0.00021589230606142135,4.152559951181403e-05,0.0001072319535305075,6.264549901782264e-05,4.652499601323636e-05,9.07033365258051e-05
P_cell:270_330,0.19537749544659744,0.0690061473817296,0.00369767472876883,0.0037814073967333025,0.5409340935657913,0.00031407271384997494,0.0001972480932767882,0.1752367303024915,0.0110456926662116,0.00014359901859296425,8.132598050202098e-05,0.00010820065716606735,4.412260347828511e-05,1.3236781043485535e-05,1.8952663766808828e-05
P_cell:330_390,0.1846323189637556,0.10983960838929503,0.003335821114234108,0.005953712019354105,0.47432543867713756,0.00038039361002970484,0.00016018686058242982,0.20389137644675034,0.016881346501041214,0.00019451261642152188,5.40981941440662e-05,0.0001999324726066417,5.7008857650889795e-05,6.373349402872363e-05,3.0511782968081862e-05
P_cell:390_450,0.18023085119334492,0.15947456803439428,0.003738352549132849,0.013332602197231678,0.3685249932839448,0.0005584135822281608,7.455575935694902e-05,0.21867546310596678,0.05489215574808806,0.00011631100919923491,6.872008588501509e-05,0.0002473118171381656,2.183346798982178e-05,2.877590712022594e-05,1.509225897913948e-05
Pharyngeal_intestinal_valve:210_270,0.2143111898024725,0.03598550254014717,0.003097461994786944,0.001762169639921685,0.643181309786816,0.00027360560661131365,0.00011467590971338296,0.09741511406262093,0.003652756091513599,3.1018065446703585e-05,7.74946455948588e-05,4.0010273344933614e-05,4.506207553495048e-05,0.0,1.2629505475042178e-05
