,leiden_cluster0,leiden_cluster1,leiden_cluster2,leiden_cluster3,leiden_cluster4,leiden_cluster5,leiden_cluster6,leiden_cluster7,leiden_cluster8,leiden_cluster9,leiden_cluster10,leiden_cluster11,leiden_cluster12,leiden_cluster13,leiden_cluster14,leiden_cluster15
ASEL:gt_580,0.3190738177029925,0.07567481233029866,0.099904012586057,0.0037025649189673725,0.006962703296920546,0.10642897165483862,0.0003198539950794094,0.3842963550275295,0.0,0.0008217979353081247,4.984061927229574e-05,0.0,1.945761128166869e-05,0.0027107470005884107,0.0,3.506532086589492e-05
ASER:gt_580,0.2964989500448677,0.06750378235849303,0.10529324854323846,0.003480941673226834,0.0056104076899711535,0.1605283863295624,0.00021767552201939832,0.35584897446206715,1.171859646888614e-05,0.0022284000081719065,5.807446037678088e-06,3.3392814716649005e-05,3.3081701536059114e-05,0.002699217954797951,6.014854824738019e-06,0.0
ASG:390_510,0.3648937641551391,0.0841543164015805,0.03715892059754288,0.0017359695418683624,0.0064603733229132675,0.0025270377616049646,0.00040360623455949085,0.5004183622841542,2.9306439961644556e-05,8.360047610111235e-05,2.2622515058111583e-05,2.437061849442021e-05,0.0,0.002087749651021998,0.0,0.0
ASG:510_650,0.3263269243321969,0.0688096018097257,0.07217455540507071,0.003422952369173057,0.0063350851490655575,0.022506393442572555,0.00030526209758611355,0.4966672736385224,8.986735803391126e-05,0.00010933691108572784,0.00018465333999670249,5.6666646513971396e-05,0.00022635917206033062,0.0027512527888853863,0.0,3.381553951104984e-05
ASG_AWA_terminal_cells_but_undifferentiated,0.39011682292160704,0.0926506041122311,0.01957967578637577,0.0015300672446762556,0.008198923788316366,0.0006955960191411921,0.0004080857089787701,0.4851188506419522,3.5887955971476286e-05,4.6054515736767024e-05,6.709929445091885e-05,0.0,1.7384817198647153e-05,0.001534947193363595,0.0,0.0
ASH:330_390,0.3988373112594797,0.09006174819932762,0.01853956360145625,0.001093353160876284,0.00866471736374773,0.0007614749624052147,0.00026609049205453787,0.4802186300850526,6.953831525691925e-05,3.933070892082313e-05,7.399849874278578e-06,1.9361251040920666e-05,1.0339516262690616e-05,0.0014069851541778993,0.0,4.156080066375638e-06
ASH:390_510,0.3869527649769585,0.08630891360097892,0.046639357800255146,0.0016438001184618189,0.007107404026400062,0.003128437508136114,0.0001974024642661876,0.4644174176299826,7.932711083339842e-06,5.461366476607045e-05,6.183446588039262e-05,0.0,4.505373089640449e-05,0.0034350673019344427,0.0,0.0
ASH:510_650,0.3418047402275595,0.07384220018494961,0.08324540563738639,0.0028134819061048696,0.005105324198253708,0.021365357203071592,0.0001070868394565956,0.4674117785305192,9.145297835272238e-05,0.00013958074684895954,0.00018443868818621666,6.825764194370787e-05,0.0001625717190605378,0.003658323498306332,0.0,0.0
ASH:gt_650,0.2984415834177855,0.07452900126180942,0.10553572895389372,0.0046449799247284245,0.007031420940883357,0.0609834363163451,0.0003203221195512645,0.44054958535909416,0.00015140064144813627,0.0022384414782927646,6.194131076264799e-05,0.0,1.2058458168435636e-05,0.005451865984563317,4.823383267374254e-05,0.0
ASI:390_510,0.40083846325161104,0.08707039725108229,0.04206611382641219,0.0025054302045143546,0.007242045090381385,0.003282663695025889,0.0003539014748928325,0.4546544946100835,0.00010470820869409434,4.448053787297953e-05,6.534037632375613e-05,5.1740579686730214e-05,0.0,0.0016989520385277126,2.1268854890987916e-05,0.0
