,ward_cluster0,ward_cluster1,ward_cluster2,ward_cluster3,ward_cluster4,ward_cluster5,ward_cluster6,ward_cluster7,ward_cluster8,ward_cluster9,ward_cluster10,ward_cluster11,ward_cluster12,ward_cluster13,ward_cluster14,ward_cluster15
AFD:270_330,0.13300722861050449,0.3831953796766667,0.0012446877467236323,0.05366717924513007,0.00224068266029752,0.061986306293519325,0.0,0.06630799429688908,0.0003124210089261252,2.579716555427861e-05,0.006169193310397307,0.0038171647813832967,4.404891509663384e-05,0.2829648264314699,0.0049247094938361605,9.23803636054404e-05
AFD:330_390,0.12463128718267312,0.3519922439396882,0.0014901030921545641,0.05419592898344567,0.005963767769644602,0.10842551365597378,0.0,0.12153689568464925,0.00010442414709264669,1.809882977847236e-05,0.009708496993865716,0.01380971215743135,0.0,0.2035903807770092,0.004493390368372192,3.975641822125108e-05
AFD:390_510,0.1268488090902083,0.28954880146309964,0.0017015182024821955,0.038206307985909016,0.007206903879261647,0.11564195578642628,0.0,0.1898611662297734,7.871828682904385e-05,6.3627216297051e-05,0.029203056879876305,0.034302105285912564,2.100513871344953e-05,0.16335104970631556,0.0039470287109656214,1.794613792993746e-05
AFD:510_650,0.14352880299022072,0.2470162907728793,0.002985414742022798,0.021617986859084046,0.01523651011533252,0.08357409942958419,0.0,0.18336138353812576,9.469426023469311e-05,0.0001105784587256739,0.13151566512892013,0.058560865143053004,0.00015181628173110474,0.10716264329761664,0.005005864425718513,7.738455675093201e-05
AFD:gt_650,0.14837411133256956,0.22148923191545772,0.005396328947574918,0.02005836068065296,0.01253261647975775,0.08010293550382808,8.363199937885171e-06,0.14355639192143796,0.00011161258188708481,0.0005586824057271191,0.22470297217800853,0.04952480504451699,0.00012235051760980158,0.08349509069838706,0.009895730514157142,7.041607848935416e-05
AIA:510_650,0.1360699570174484,0.2643825620081985,0.002450735276881803,0.027273565705183155,0.008851287700578329,0.08282260994196827,0.0,0.1716279333050338,9.40700743235476e-05,8.751894836412753e-05,0.11323518859514475,0.032906715139539494,0.00011065261190832968,0.15067016483144718,0.009241796224565635,0.00017524261941448697
AIB:330_390,0.17864898967496334,0.3462319456980997,0.0026174372539646412,0.05140283293661363,0.000927758998446932,0.09513365483201316,0.0,0.12634260193221247,7.517658035171359e-05,0.00010286781731619198,0.008234655952277537,0.01413186382434238,0.0,0.1682470329095993,0.007849542638197477,5.3638951601563706e-05
AIB:390_510,0.18800633346381984,0.33352296413651,0.0023343039355361874,0.036933520258053694,0.0015679904844287994,0.08326996076897443,0.0,0.1375961107849803,0.00011418849445340149,6.86771016910045e-06,0.01440835343163589,0.0195943971375384,0.0,0.17551612123210003,0.0068281439582754825,0.0003007442035244883
AIB:510_650,0.16371181406570914,0.2909203956229633,0.002140044618913987,0.02608592741904696,0.0024582499901463642,0.10565223124491972,0.0,0.2026989882431164,8.811523574333663e-05,0.00043098049145189353,0.03551394810528512,0.030726628775051706,0.0002533055079038541,0.11975201029648196,0.018932290973429848,0.000635069409836343
AIM:330_390,0.13277191197361118,0.3282036211647004,0.0021047929009643264,0.06593476083382542,0.0017807346064891672,0.07710039555167318,0.0,0.19636244308643064,0.0001486759399660266,0.00012432296425238972,0.004248980321465419,0.015556946926782368,9.239805491350448e-05,0.16862900830282987,0.006783531617376278,0.00015747575471969366
AIM:390_510,0.15100336932614514,0.307052208451471,0.0024032033013785875,0.04198473361752174,0.0042484885824207,0.07982238051255731,0.0,0.1713132475919656,0.00023532296388493798,8.581755769048951e-05,0.009489905008483054,0.029676147809834113,8.997337162223235e-05,0.1918656176007032,0.0106413771536207,8.820715070124166e-05
AIM:510_650,0.15917899320822912,0.2943953450419989,0.003918757507293849,0.036576680305376606,0.004932786944812057,0.08449513704834681,0.0,0.1923403601988825,5.7548480919633115e-05,0.00017978649513578814,0.014305523204954712,0.02423851703025475,0.00012055776659806354,0.17063072084933156,0.014629285917865716,0.0
AIN:390_510,0.14071679868163464,0.3207868951616683,0.002857888520061145,0.05946443073322617,0.010061971253653072,0.09135037263358772,0.0,0.18028775506931025,2.478600203245217e-05,4.7905718213983176e-05,0.009257675901986569,0.014144267445544218,0.00014809115500061758,0.16420091075018892,0.006614217542365838,3.603343152616995e-05
AIY:390_510,0.14789742610505646,0.35336638964622746,0.0026213544083738987,0.03879324077414502,0.0022454317300805056,0.06559757941263472,0.0,0.19552433429156152,7.928813483478322e-05,3.711798249742777e-05,0.006997255228299822,0.012101699560244702,0.0,0.1683664468697838,0.006372435856259788,0.0
AIY:510_650,0.15398571149935436,0.26224217206277983,0.002325728765380384,0.02498265579131975,0.006018008349909431,0.06949884083900706,2.468926502526946e-05,0.2741940395176376,0.00015687970484806635,1.8516948768952095e-06,0.031414929433965684,0.01941049441899164,0.00022415795204192568,0.12740370569408518,0.02808774235599781,2.8392654779059882e-05
AIY:gt_650,0.15772724043967892,0.20806977304582314,0.003476234567676541,0.017403533060732754,0.015246343609640856,0.07653207303493426,0.0,0.2957770692071761,3.5048348520777695e-05,0.0001468494602710329,0.06382210664702849,0.023321711911103243,0.00019479393703090983,0.08571338833393359,0.05211897427108015,0.0004148601253690866
AIZ:390_510,0.18033358857146067,0.30376158880066545,0.0032734471820868387,0.051691700490138326,0.0016429112870542893,0.08386459989993612,0.0,0.18690440176055031,0.0002092377205692639,8.101202004147941e-05,0.010099879813104541,0.021363878435380228,7.518830614889551e-05,0.15011506514707945,0.006534830956824753,4.866960895945104e-05
ALA:330_390,0.15569643829365376,0.3790609219820892,0.0020423317440239385,0.0620923437757796,0.0019571792167316845,0.05972095322580876,0.0,0.09711804184761154,2.5453756657588502e-05,0.00025709316463387583,0.002780797358860964,0.01442399988714479,0.0,0.22027517453201376,0.004093045849678087,0.00045622536531252
ALA:390_510,0.1584091402979466,0.3444414652271208,0.0014782473363526,0.05682850783799976,0.0018141008689672262,0.07006500989169595,0.0,0.15411988700649487,0.00014210764177440092,0.00013391109430363514,0.014285045388893906,0.0263667563608026,0.0,0.1660850020906319,0.0054191473602967655,0.000411671596719209
ALA:510_650,0.15103149098021013,0.29989844524209197,0.002495786971601098,0.04678590038464734,0.013601829213632163,0.06370923738967023,0.0,0.1879513118410555,5.300822712244736e-05,0.00013692086465219027,0.05518269009180042,0.031139468124863644,8.462896492328951e-05,0.14128012617186045,0.006496987126982743,0.00015216840488625332
ALM_BDU:390_510,0.1602296556637903,0.3110294287615561,0.002273727311055101,0.057266629967910064,0.0012882409124039134,0.0666464966700072,0.0,0.2124322049795344,0.00020405245099212448,0.00017705002138715162,0.003232620407822604,0.03478628906632758,4.684512408741504e-05,0.14434271483654634,0.0059715259379815545,7.251788859820364e-05
ALM_BDU:510_650,0.15637458358996947,0.28441839445420725,0.002889816311226714,0.03960376654059938,0.0018896181470942574,0.07806986692294382,0.0,0.2270169538019948,6.162358357214189e-05,0.00011922823778088326,0.017448645553822383,0.04010283512795704,0.00014282656660700446,0.12773157096754284,0.023527121641759442,0.000603148552922653
ALM_PLM:gt_650,0.13788482193803056,0.18410776802174508,0.003293134908490276,0.020551432320549963,0.0011571720125848346,0.07393093504805995,0.0,0.2810084753065087,0.00024610653216121603,0.000977356457238068,0.02835624709464682,0.022360755905660255,0.0006292007552048407,0.08064056550813878,0.16475490115216174,0.00010112703881895097
AMsh:330_390,0.2690287035148659,0.34311268500494463,0.001995861906223481,0.05491681442194203,0.0008349372535075069,0.07514617737201447,0.0,0.029554974490675092,3.9227961285347244e-05,3.375429226878715e-05,0.00318354671857597,0.005454308446520024,0.0,0.2094131496991712,0.007252104625736867,3.375429226878715e-05
AMsh:390_450,0.3393512982489227,0.2850746896534345,0.002599464946344247,0.04161125368550518,0.0007730720550303741,0.13633371594032306,1.0364530706243187e-05,0.032354610021322484,0.00011797274656812099,7.529526718947256e-05,0.00868019285343253,0.018146159392662887,1.6562926520761173e-05,0.12267844673484768,0.012142149335410034,3.475166177975657e-05
AMsh:450_510,0.3371087590846775,0.23479899853876465,0.0020892076517039595,0.02615185276734349,0.0012576731125675902,0.16450819836318456,9.283333751913734e-05,0.026169036594332243,0.00010767853716622832,5.775392739416211e-05,0.041755581108731024,0.05676265443964506,5.7652247944524514e-05,0.08433181705548719,0.024573584350068515,0.00017671888347016508
